,Simple Random,Systematic,Stratified,Cluster,Bootstrap
Logistic Regression,0.8954248366013072,0.8888888888888888,0.8986928104575164,0.8986928104575164,0.9215686274509803
Decision Tree,0.9705882352941176,0.9444444444444444,0.9477124183006536,0.9281045751633987,0.9640522875816994
Random Forest,0.9901960784313726,0.9771241830065359,0.9836601307189542,0.9869281045751634,0.9771241830065359
SVM,0.9607843137254902,0.954248366013072,0.9411764705882353,0.9477124183006536,0.9444444444444444
KNN,0.8954248366013072,0.8986928104575164,0.8823529411764706,0.9183006535947712,0.8888888888888888
